# pedestrianID time_activation gate_in gate_out speed
74 1370.0 8 5 1.2649748973285486
75 1393.0 2 5 0.841236069245737
76 1381.0 8 5 1.3327827434749984
77 1459.0 8 5 0.7795544560431448
78 1453.0 1 0 0.4369387542369284
79 1482.0 9 1 0.6553564175040015
80 1495.0 9 0 0.23342373483834009
81 1563.0 9 5 0.6638039830809408
82 1646.0 9 5 1.3426354740971083
83 1664.0 8 3 0.34069116912679015
84 1948.0 5 9 1.2765863821778625
85 1870.0 10 0 1.178579620882804
86 1971.0 9 1 0.28500009103661117
87 2460.0 9 1 0.9450466727268222
88 2078.0 9 5 1.6928729479251337
89 2131.0 8 5 1.1106454897246962
90 2197.0 2 9 0.8942530625464047
91 2309.0 9 2 0.4044129639164065
92 2458.0 9 1 0.7014606396039447
93 2589.0 8 2 0.47545167961295604
94 2762.0 8 2 0.6167258665985641
95 2924.0 6 4 0.5741186481671936
96 831.0 0 5 0.460872568574164
97 1857.0 1 5 0.5820234483268387
98 1677.0 4 2 0.8856283064950826
99 636.0 8 5 1.1095267914878912
100 713.0 1 7 0.47315351210616935
101 653.0 2 4 0.39749477453178
102 704.0 5 2 1.0337492699414974
103 972.0 2 9 0.9127223131381867
104 930.0 8 5 1.0004055946871944
105 929.0 0 1 0.9729712622486182
106 1030.0 1 7 1.2209951440306213
107 979.0 1 0 0.5206932239882868
108 1088.0 10 1 0.3068009799769143
109 1137.0 2 7 0.8728297066196411
110 1150.0 1 4 1.0647209632908954
111 1173.0 1 8 0.40339826093232306
112 1255.0 1 9 0.6269389528350635
113 1293.0 9 5 0.8717337669253653
114 1385.0 1 9 0.5220052987844742
115 1306.0 1 8 0.8490981011739434
116 1421.0 1 5 1.0906353184315665
117 1297.0 1 9 0.9296071464216177
118 1722.0 2 9 0.6718972320960608
119 1524.0 4 7 1.3134555231826022
120 1512.0 9 1 0.5652509606318626
121 1697.0 0 5 0.4160400897636862
122 1837.0 1 5 0.34570776409935966
123 1802.0 1 9 0.9272919668765797
124 1903.0 1 5 0.7331134616273777
125 1955.0 9 1 0.2773625375965282
126 1978.0 9 4 0.43156566266441504
127 1963.0 9 1 0.24368823956608252
128 2371.0 9 1 0.6543134699588214
129 2609.0 8 3 0.5899891580275325
130 2835.0 1 8 1.5448053876329817
131 1273.0 8 2 0.26681957099972775
132 1638.0 1 9 0.4941018671477907
133 322.0 9 1 0.42515297385113165
134 502.0 1 5 0.47907352667706
135 648.0 2 5 0.4179956909419284
136 686.0 9 1 0.2831686564120293
137 670.0 2 5 0.5206188804417538
138 803.0 10 1 0.43665413739341297
139 689.0 2 9 0.546392467278536
140 818.0 1 8 1.5761086390613106
141 811.0 1 7 0.461288608029433
142 917.0 1 4 0.7127062098141734
143 812.0 1 5 0.5983984953625696
144 926.0 1 7 0.6397353074006914
145 1048.0 1 8 0.8305667716059427
146 1187.0 2 5 0.3817144344975468
147 1579.0 1 8 0.7858845493195397
148 2529.0 8 1 0.4196906112275998
149 2598.0 0 1 0.36803116034298794
150 399.0 1 4 0.45072541345946737
151 402.0 1 0 0.8503661450196676
152 1220.0 1 10 0.9641900196766299
153 1177.0 0 5 1.085800257511601
154 1264.0 2 8 0.9545531111663146
155 1222.0 4 8 0.7388839509298601
156 1257.0 1 5 0.6721202089034563
157 1241.0 1 9 0.35974780319842964
158 1340.0 1 5 1.1032363241636585
159 1292.0 1 10 0.5163608312305759
160 1394.0 1 5 1.1600786700164445
161 1447.0 1 7 0.8388448376541107
162 1473.0 1 10 1.5032300627957826
163 1445.0 0 5 0.5304491407997295
164 1607.0 1 5 1.0664014617965294
165 1699.0 0 1 0.7207418126876706
166 1750.0 10 1 0.38752774709378646
167 1839.0 0 8 0.6505964527447379
168 1836.0 1 9 0.8672200534338262
169 1895.0 2 10 1.7272888400081743
170 1981.0 1 9 1.3166831500172467
171 2196.0 2 10 1.1204431421809855
172 2238.0 2 9 0.8408056824724075
173 2095.0 3 0 0.2888094171087385
174 2268.0 2 10 1.115021482364966
175 2533.0 9 1 0.526484832646171
176 2436.0 3 9 1.1313755162705483
177 2564.0 2 9 1.3444825434527923
178 2592.0 9 1 0.6211614784702575
179 2771.0 8 1 0.4394547981095062
180 2849.0 9 1 0.5417748776741926
181 2803.0 2 5 0.4108263115288795
182 2825.0 1 7 0.8887135304853594
183 2937.0 2 9 1.6343993754101498
184 2918.0 8 4 0.5387916594320322
185 2911.0 1 8 0.4817732589625773
186 2939.0 1 7 2.209733873841448
187 356.0 5 3 0.42555465121030145
188 225.0 6 0 1.9397070274825772
189 355.0 5 3 0.5408031711884917
190 273.0 4 2 0.4063620022360533
191 319.0 8 5 1.4833602068057035
192 352.0 5 2 0.4937379896546589
193 337.0 7 5 1.3586048732625526
194 327.0 8 5 1.495335238419211
195 367.0 1 9 0.6703376369750988
196 332.0 8 5 1.462615699251176
197 357.0 4 2 0.6095195724271042
198 120.0 0 5 0.5309650408392455
199 29.0 8 4 0.3486901790770831
200 354.0 8 5 1.5403545050552003
201 287.0 8 2 0.41939538572090684
202 766.0 1 10 0.3525394692099315
203 332.0 9 0 1.2204927763684343
204 311.0 9 1 0.4073406467003493
205 351.0 0 1 0.589537694243946
206 332.0 10 1 0.5220141423538158
207 286.0 8 2 1.2514718993578846
208 1.0 2 9 0.51768726415778
209 217.0 1 9 0.6844699559901388
210 369.0 9 5 0.898378538397316
211 177.0 1 5 1.4685516675604997
212 357.0 8 4 3.5343487609014375
213 370.0 4 2 0.8892565238310806
214 291.0 0 1 0.4648074118312907
215 240.0 1 5 0.39275450019973507
216 147.0 0 4 0.4368767809948731
217 299.0 1 5 1.1963249776819378
218 413.0 1 5 1.164875724792965
219 204.0 0 5 0.2810356054216775
220 363.0 0 1 0.9257473200320574
221 342.0 0 1 0.585891779616668
222 317.0 1 5 0.8965271860616996
223 389.0 0 1 0.5089410818573857
224 431.0 9 4 0.9629819352913811
225 402.0 0 2 0.541153246034896
226 307.0 0 5 0.520300347895903
227 424.0 0 1 1.1198305220057578
228 437.0 2 5 0.3977641069920039
229 473.0 1 5 0.5769727223672914
230 576.0 1 5 2.091108783745447
231 619.0 8 2 0.4305957567747196
232 341.0 5 0 1.0374783793167213
233 202.0 1 5 0.21456479344736887
234 684.0 9 5 0.9232340287072854
235 634.0 4 8 0.5393537974054219
236 737.0 0 8 1.0017688523608186
237 768.0 9 4 0.3000155708909657
238 906.0 0 8 0.8638120127469633
239 1067.0 1 5 1.5140875191653584
240 1036.0 1 7 1.6104190549950388
241 1078.0 1 8 1.4758905189246327
242 1013.0 0 8 0.9434356505228192
243 924.0 1 9 0.48748552792644234
244 1095.0 1 5 0.9239563941237315
245 1707.0 0 2 0.13217687905119332
246 1532.0 9 2 0.10882306094443399
247 1963.0 9 2 0.14866867617109988
248 2036.0 9 2 0.16016738511454248
249 2102.0 8 1 0.16410962721835
250 2096.0 2 10 0.6860852121032769
251 2176.0 0 5 0.25067107869624183
252 2457.0 2 10 0.6832559732895159
253 2308.0 8 2 0.19723084658971346
254 2392.0 8 2 0.19225919704093056
255 2643.0 2 10 0.49943370497337486
256 2742.0 1 8 0.4061709549707564
257 2788.0 9 2 0.7245191483950154
258 2830.0 8 1 0.5137715620166622
259 2890.0 8 1 0.47401852978393283
260 3164.0 2 4 0.5122770717912374
261 2913.0 9 1 0.4435255297151507
262 3046.0 9 0 0.5406211237918169
263 3057.0 8 6 0.7300266572319367
264 3016.0 2 0 0.47165158588439465
265 3048.0 2 4 0.349831725046981
266 3068.0 8 5 0.4044224854020972
267 3065.0 9 5 0.41071478198417366
268 3102.0 8 1 0.7730145825291043
269 3133.0 9 0 0.4420166916648218
270 3151.0 8 0 0.6254767415905409
271 3229.0 8 2 0.8733628807241106
272 3328.0 9 5 0.8615259139510467
273 3337.0 9 6 0.8247108240985065
